Airline,Source,Destination,Total_Stops,Journey_Day,Journey_Month,Dep_Hour,Arrival_Hour,Duration_Hours
IndiGo,Banglore,New Delhi,non-stop,24,3,22,1,2
Air India,Kolkata,Banglore,2 stops,1,5,5,13,7
Jet Airways,Delhi,Cochin,2 stops,9,6,9,4,19
IndiGo,Kolkata,Banglore,1 stop,12,5,18,23,5
IndiGo,Banglore,New Delhi,1 stop,1,3,16,21,4
SpiceJet,Kolkata,Banglore,non-stop,24,6,9,11,2
Jet Airways,Banglore,New Delhi,1 stop,12,3,18,10,15
Jet Airways,Banglore,New Delhi,1 stop,1,3,8,5,21
Jet Airways,Banglore,New Delhi,1 stop,12,3,8,10,25
Multiple carriers,Delhi,Cochin,1 stop,27,5,11,19,7
Air India,Delhi,Cochin,1 stop,1,6,9,23,13
IndiGo,Kolkata,Banglore,non-stop,18,4,20,22,2
Air India,Chennai,Kolkata,non-stop,24,6,11,13,2
Jet Airways,Kolkata,Banglore,1 stop,9,5,21,9,12
IndiGo,Kolkata,Banglore,non-stop,24,4,17,19,2
Air India,Delhi,Cochin,2 stops,3,3,16,19,26
SpiceJet,Delhi,Cochin,1 stop,15,4,8,13,4
Jet Airways,Delhi,Cochin,1 stop,12,6,14,12,22
Air India,Delhi,Cochin,2 stops,12,6,20,19,23
Jet Airways,Delhi,Cochin,1 stop,27,5,16,12,20
GoAir,Delhi,Cochin,1 stop,6,3,14,19,5
Air India,Banglore,New Delhi,1 stop,21,3,22,13,15
IndiGo,Banglore,Delhi,non-stop,3,4,4,6,2
IndiGo,Banglore,Delhi,non-stop,1,5,18,21,2
Jet Airways,Kolkata,Banglore,1 stop,6,5,18,8,13
Jet Airways,Delhi,Cochin,2 stops,9,6,21,12,15
IndiGo,Delhi,Cochin,1 stop,1,6,21,3,5
GoAir,Delhi,Cochin,1 stop,15,5,7,12,5
Vistara,Banglore,Delhi,non-stop,18,6,9,12,2
Vistara,Chennai,Kolkata,non-stop,15,6,7,9,2
Vistara,Chennai,Kolkata,non-stop,18,6,7,9,2
Air India,Kolkata,Banglore,2 stops,1,5,9,23,13
IndiGo,Banglore,Delhi,non-stop,6,4,4,6,2
Jet Airways,Delhi,Cochin,2 stops,15,6,14,12,22
Jet Airways,Delhi,Cochin,1 stop,18,5,7,12,5
IndiGo,Delhi,Cochin,1 stop,27,6,10,21,10
SpiceJet,Kolkata,Banglore,1 stop,21,5,15,20,5
Air India,Kolkata,Banglore,non-stop,18,5,14,16,2
Jet Airways,Banglore,New Delhi,1 stop,6,3,7,13,6
Jet Airways,Delhi,Cochin,1 stop,3,6,7,19,11
Multiple carriers,Delhi,Cochin,1 stop,21,5,7,18,11
Air India,Banglore,New Delhi,1 stop,15,3,6,15,8
Jet Airways,Delhi,Cochin,1 stop,18,5,20,19,22
Air Asia,Banglore,Delhi,non-stop,6,5,11,13,2
Multiple carriers,Delhi,Cochin,1 stop,21,3,9,21,12
SpiceJet,Banglore,New Delhi,non-stop,24,3,5,8,2
IndiGo,Banglore,Delhi,non-stop,27,5,4,6,2
Air India,Chennai,Kolkata,non-stop,3,5,11,13,2
Air India,Kolkata,Banglore,1 stop,15,5,19,11,16
Jet Airways,Delhi,Cochin,2 stops,27,6,23,19,19
Jet Airways,Delhi,Cochin,non-stop,9,3,11,14,3
Jet Airways,Kolkata,Banglore,1 stop,1,5,9,10,25
IndiGo,Banglore,New Delhi,non-stop,24,3,22,1,2
IndiGo,Banglore,Delhi,non-stop,18,6,21,0,3
Air Asia,Banglore,Delhi,non-stop,3,4,23,2,2
Jet Airways,Kolkata,Banglore,1 stop,24,3,19,12,16
Air India,Banglore,New Delhi,2 stops,1,3,8,23,15
Vistara,Chennai,Kolkata,non-stop,6,3,7,9,2
Multiple carriers,Delhi,Cochin,1 stop,6,5,19,1,6
Vistara,Mumbai,Hyderabad,1 stop,6,3,15,16,25
Air India,Kolkata,Banglore,1 stop,6,6,9,21,12
Air India,Delhi,Cochin,1 stop,3,4,6,9,27
Multiple carriers,Delhi,Cochin,1 stop,3,6,8,19,10
IndiGo,Delhi,Cochin,1 stop,15,5,15,1,10
Vistara,Chennai,Kolkata,non-stop,24,5,7,9,2
IndiGo,Delhi,Cochin,1 stop,24,6,10,21,10
Vistara,Banglore,Delhi,non-stop,24,4,9,12,2
Air India,Mumbai,Hyderabad,non-stop,6,5,13,15,1
Air India,Delhi,Cochin,2 stops,21,5,5,19,13
IndiGo,Chennai,Kolkata,non-stop,12,3,13,15,2
Jet Airways,Mumbai,Hyderabad,non-stop,1,6,7,8,1
Jet Airways,Banglore,New Delhi,1 stop,9,3,5,8,26
Multiple carriers,Delhi,Cochin,1 stop,24,6,11,19,7
Jet Airways,Delhi,Cochin,2 stops,24,6,23,12,13
IndiGo,Delhi,Cochin,1 stop,21,3,5,10,5
Vistara,Banglore,New Delhi,non-stop,9,3,9,12,2
GoAir,Banglore,Delhi,non-stop,3,4,11,14,2
IndiGo,Mumbai,Hyderabad,non-stop,3,4,6,7,1
Jet Airways,Delhi,Cochin,1 stop,15,6,17,12,19
SpiceJet,Chennai,Kolkata,non-stop,21,3,8,10,2
Jet Airways,Kolkata,Banglore,1 stop,9,6,21,12,14
Jet Airways,Banglore,New Delhi,non-stop,24,3,19,22,2
Jet Airways,Kolkata,Banglore,1 stop,6,5,6,4,22
IndiGo,Delhi,Cochin,1 stop,27,6,11,21,9
Multiple carriers,Delhi,Cochin,1 stop,18,5,9,19,10
Jet Airways,Banglore,New Delhi,1 stop,6,3,14,11,21
IndiGo,Delhi,Cochin,1 stop,24,6,2,7,5
Jet Airways,Delhi,Cochin,2 stops,6,6,9,4,18
Jet Airways,Kolkata,Banglore,1 stop,1,4,8,20,12
Jet Airways,Kolkata,Banglore,1 stop,24,5,20,14,18
Multiple carriers,Delhi,Cochin,1 stop,27,5,13,22,9
Multiple carriers,Delhi,Cochin,1 stop,6,3,2,13,11
Jet Airways,Banglore,New Delhi,1 stop,12,3,16,10,17
Air India,Delhi,Cochin,2 stops,6,3,5,19,13
Air India,Kolkata,Banglore,non-stop,21,4,20,23,2
